question,ground_truth,predicted,correct,generated_text,rag_used
"මනු ලොව උපත ලැබීමට ප්‍රථම අප මහා බෝසතාණෝ උපත ලබා සිටියේ,...",B,A,False,A,False
"පංච මහා විලෝකනය හෙවත් පස් මහ බැලුම් වලට අයත් නොවන්නේ,...",C,A,False,A,False
"සිදුහත් බෝසතාණෝ ""මව් කුස පිළිසිඳීම පිළිබඳ සිහිනය"" මහාමායා දේවිය දුටුවේ,...",D,A,False,A,False
"""අග්ගෝ හමස්මි ලෝකස්ස"" මෙහි සරල තේරුම,...",C,A,False,A,False
"මහාමායා දේවිය කලුරිය කළ පසු සිදුහත් කුමරු හදා වඩා ගත්තේ,...",D,A,False,A,False
"දුෂ්කර ක්‍රියාව අත්හළ බෝධිසත්වයෝ අනුගමනය කළ ප්‍රතිපත්තිය නම්,...",D,A,False,A,False
"පන්සලට ගිය පසු වන්දනාමාන කිරීමේ දී දෙවනුව වන්දනා කළ යුත්තේ,...",C,A,False,A,False
ඉතිපි සෝ භගවා අරහං ...... විජ්ජාචරණ යනාදී ගාථා පාඨයෙහි හිස්තැනට නියමිත බුදුගුණය ...,D,A,False,A,False
"යස්ස මුලේ නිසින්නෝ............ මෙම ගාථාව සජ්ඣායනා කරමින් වන්දනා කරන්නේ,...",B,A,False,A,False
"බුදු දහම අනුව උපාසකයෙකු වීමේ මූලික පියවර වන්නේ,...",D,A,False,A,False
"දියුණුවේ දොරටු සඳහන් වන්නේ,...",B,A,False,A,False
සීල ශික්ෂාවට අයත් නොවන අංගය තෝරන්න....,C,A,False,A,False
"නුදුන් දෙයක් සොර සිතින් නොගනිමි ...... මෙහි දැක්වෙන්නේ පන්සිල් වල,...",C,A,False,A,False
"මෙත්තා, කරුණා, මුදිතා, උපේක්ඛා යනු...",C,A,False,A,False
"සිදුහත් බෝසතාණන් වහන්සේට මනුලොව ඉපදීමට ආරාධනා කරන ලද්දේ,...",C,A,False,A,False
"බුදු දහමට අනුව මෙත් වැඩීමේ ආනිසංස,...",B,A,False,A,False
"අත්ථස්සද්වාර ජාතකයේ දියුණුවීම සඳහා ඇති කරුණු හයෙහි ""අලීනතා"" යනු,...",D,D,True,D,False
"සීලය යනු,...",B,A,False,A,False
"""කායේන සංවරෝ සාධු"" යන පාඨයෙන් අර්ථවත් වන්නේ,...",B,A,False,A,False
"සිගාලෝවාද සූත්‍රයට අනුව දෙමාපියන් නම් කර ඇති දිශාව වන්නේ,...",D,A,False,A,False
"සමාජයේ යුතුකම් පිළිබඳ ඇතුළත් සූත්‍ර දේශනාව වන්නේ,...",C,A,False,A,False
"පංච මහා විලෝකනය හඳුන්වන තවත් නමකි,...",C,A,False,A,False
"""අග්ගෝ හමස්මි ලෝකස්ස..."" යන ගාථාව,...",B,A,False,A,False
සිදුහත් කුමරු ඒකාන්තයෙන්ම බුදුවන බව පවසන ලද්දේ කවුරුන් විසින්ද?...,D,A,False,A,False
"නිබ්බුත පද පවසන ලද්දේ,...",C,A,False,A,False
""" රජතුමනි මේ කුමරු ඒකාන්තයෙන් ම බුදු වෙනවා , එබැවින් මම සිනාසුණෙමි . කුමරු බුදුව...",D,A,False,A,False
සිදුහත් කුමරු අභිනිෂ්ක්‍රමණය කළේ කුමන පොහොය දිනක ද ?...,C,A,False,A,False
පුද්ගලයෙකුගේ මනස සංවර කර ගැනීමට මෙත් වැඩීම මහත්සේ ඉවහල් වේ . මෙත් වැඩීමෙන් ලැබෙන...,D,A,False,A,False
"සිදුහත් කුමාරයාගේ මව වූයේ ,...",C,A,False,A,False
"යශෝධරා දේවියගේ පියා වූයේ ,...",D,A,False,A,False
සතර පෙරනිමිතිවල දෙවැන්න...,C,A,False,A,False
විහාරස්ථානයට ගොස් වන්දනා කරන පිළිවෙළ නිවැරදිව දක්වා ඇති පිළිතුර තෝරන්න ....,C,A,False,A,False
"පහත දැක්වෙන වචනවලට භාවිතවන ශාසනික වචන පිළිවෙළට යෙදී ඇති පිළිතුර තෝරන්න .
වතුර, අ...",D,A,False,A,False
මෙයින් අවුරුදු දහසක් ඉකුත් වූ කල බුදු කෙනෙකුන් උපදිනවා යයි දෙවියන් හඬ නඟා කියමින...,C,A,False,A,False
"සිදුහත් කුමරු සමඟ එකට හැදුණු කුමාරවරුන් වන්නේ ,...",B,A,False,A,False
"සුද්ධෝදන රජතුමා තම කුමරුට දෙවන වැඳුම සිදු කළේ ,...",C,A,False,A,False
"පැවිදි වූ සිදුහත් කුමරුට සිවුරු පිරිකර පූජා කළේ ,...",B,A,False,A,False
"මේ වැලි දෝතේ වැලි කැට ප්‍රමාණයට මට ගුරුවරුන්ගේ අවවාද ලැබේවායි ' ප්‍රාර්ථනා කළේ ,...",D,A,False,A,False
"ජාතියේ ශක්තිය හා චිර පැවැත්ම මූර්තිමත් කරන ජාතික සංකේතය වන්නේ ,...",C,A,False,A,False
රජගහ නුවර මචල ග්‍රාමයෙහි අභියෝගයන්ට මුහුණ දෙමින් කණ්ඩායම් හැගීමෙන් යුතුව කටයුතු ...,B,A,False,A,False
"තමා වැරදි නොකිරීම , අන් අය ලවා වැරදි නොකරවීම , අන් අය කරන වැරදි අනුමත නොකිරීම , ...",D,A,False,A,False
"අර්ධ පර්යංකයෙන් ( පාද පසුපසට නමා ) භාවනාව සඳහා හිඳගන්නේ ,...",D,A,False,A,False
"බුදු දහමට අනුව ' දියුණුව ' පිළිබඳ පහත ප්‍රකාශ වලින් නිවැරදි ප්‍රකාශය තෝරන්න .
...",C,B,False,B,False
"ධර්මය තම ගුරුවරයා ලෙස තබාගැනීමට බුදුන් වහන්සේ තීරණය කළේ බුදු වීමෙන්,...",D,A,False,A,False
"බුදු සසුනේ බුදුන් හා දහම් සරණ ගිය ප්‍රථම උපාසකවරු වන්නේ,...",C,A,False,A,False
"පස්වග තවුසන් රහත් භාවයට පත් වූ සූත්‍රය වන්නේ,...",B,A,False,A,False
"බුදුරජාණන් වහන්සේ අපේ රටේ මහියංගනයට වැඩම කළේ,...",D,A,False,A,False
"බුදු සසුනේ ප්‍රථම වරට පූජා කළ ආරාමය,...",C,B,False,B,False
බුදුරජාණන් වහන්සේ පිළිබඳව විශාල ගෞරවයක් පැහැදීමක් සිත් තුළ උපදවා ගැනීමට උපකාර වන...,D,A,False,A,False
ත්‍රිවිධ චෛත්‍යය පිළිවෙලින් වන්දනා කිරීම සැදැහැවත් බෞද්ධයකු ගේ ලක්ෂණයකි. මෙහි ත්...,B,A,False,A,False
"සියලු සත්ත්වයන්ට කරුණාව මෛත්‍රිය වැඩිය යුතු ආකාරය දැක්වෙන සූත්‍රය,...",D,A,False,A,False
"අනේපිඬු සිටුතුමා කහවනු පනස් හතර කෝටියක් වියදම් කර ගොඩනැගූ විහාරය වන්නේ,...",B,A,False,A,False
ගාථා 423 වග්ග 26 ක් ඇතුළත් බෞද්ධයාගේ අත්පොත ලෙස සැලකෙන ධම්ම පදය නම් ග්‍රන්ථය අයත...,B,A,False,A,False
"ගිහි බෞද්ධයාගේ නිත්‍ය සීලය වන්නේ,...",B,A,False,A,False
නිර්වාණගාමී මගට පිවිසීමේදී අත්‍යවශ්‍ය වන ධර්ම සමූහය බුද්ධකාරක ධර්ම ලෙස හඳුන්වයි....,B,A,False,A,False
"බුද්ධ කාලීන භාරතයේ විසූ ඇතැම් ශාස්තෘවරුන් දේශනා කර ඇත්තේ ""සියල්ල සිදුවන්නේ සර්ව ...",B,A,False,A,False
"ගිරිමානන්ද සූත්‍රය අනුව රෝග හට ගන්නා ක්‍රමයක් වන "" සන්නිපාතිකා ආබාධා "" යනු...",D,D,True,D,False
බුදුරජාණන් වහන්සේ චතුරාර්ය සත්‍ය පිළිබඳ ප්‍රථමයෙන්ම කරුණු ගෙනහැර දැක් වූ සූත්‍රය...,B,A,False,A,False
"කායානුපස්සනා, චිත්තානුපස්සනා, වේදනානුපස්සනා හා ධම්මානුපස්සනා යන සතර සතිපට්ඨාන භා...",D,A,False,A,False
මාතලේ අලුවිහාරයේ දී පැවැත්වූයේ....,C,A,False,A,False
කුඹුරු වලින් අස්වනු ලබා ගැනීමෙන් අනතුරුව එහි පළමු කොටස ත්‍රිවිධ රත්නයට පූජා කිරී...,B,A,False,A,False
"සත් සතිය ගත කිරීමේදී බුද්ධ ශරීරයෙන් බුදුරැස් විහිදෙන්නට පටන් ගත් සතිය වනුයේ,...",D,A,False,A,False
"බුදු සසුනේ දේවාචික උපාසකයන් වූයේ,...",C,A,False,A,False
"බුදුරජාණන් වහන්සේ වෙත පැමිණ ලෝකයාට ධර්මය දේශනා කරන ලෙස ආරාධනා කළේ,...",B,A,False,A,False
"යසකුල පුත්‍රයාගේ හොඳම මිතුරෙකි,...",B,A,False,A,False
බුදුරජාණන් වහන්සේ කළගුණ දැක්වීම වශයෙන් අනිමිස ලෝචන පූජාව සිදුකරන ලද්දේ කී වන සති...,C,A,False,A,False
"බුද්ධ රත්නය වන්දනා කරන ගාථාව වන්නේ,...",B,A,False,A,False
"කරණිය මෙත්ත සූත්‍රය තුළ ඇතුළත් වන්නේ,...",C,A,False,A,False
"උපතිස්ස කෝලිත පිරිවැජියන් දෙදෙනා සමඟ බුදු සසුනේ පැවිදි වූ පිරිස,...",B,A,False,A,False
"බුදු සසුනේ අග්‍රදායකයා හා අග්‍රදායිකාව වන්නේ,...",D,D,True,D,False
" ධම්ම සේනාපති තනතුරින් පිදුම් ලැබූ මහ රහතන් වන්නේ,...",B,A,False,A,False
මෛත්‍රිය වැඩීම ගැන සඳහන් සූත්‍රය කි....,D,A,False,A,False
"බුදුසසුනේ අග්‍ර දායකත්වයට පත්වූයේ,...",B,A,False,A,False
"බෝසතාණන් වහන්සේට බුද්ධත්වයට පත්වීමට පෙර කිරිපිඬු පූජා කළේ,...",C,A,False,A,False
මිනිසා හා සතුන් අතර වෙනස්කම් දක්නට ලැබේ. වෙනස්කම් අතර මිනිසා සතුන්ගෙන් වෙනස් වන්...,B,A,False,A,False
"ගුරු සිසු සබඳතාව දැක්වෙන දේශනාවක් වන්නේ,...",D,A,False,A,False
"බුදුරජාණන් වහන්සේ පස්වන සතිය ගත කළ ස්ථානය නම් ,...",C,D,False,D,False
"බුදුන් දහම් සරණ ගිය ප්‍රථම දේවාචික උපාසකවරු වන්නේ ,...",D,A,False,A,False
"විමල , සුභාහු , පුණ්ණජි , ගවම්පතී යන සතර දෙනා ,...",B,A,False,A,False
"බුදුරජාණන් වහන්සේ භික්ෂූන් වහන්සේලාට ඕවාද ප්‍රාතිමෝක්ෂය දේශනා කරන ලද්දේ ,...",C,A,False,A,False
1 . විච්ඡාචරණ සම්පන්න ගුණය ලෙසය                                                 ...,C,A,False,A,False
"තුන් සූත්‍රයට අයත් සූත්‍ර දේශනාවන් වන්නේ ,...",D,A,False,A,False
"කරණීය මෙත්ත සූත්‍රයේ මෙත් වැඩිය යුතු සියලු සතුන් අතර , ථාවරා ' යනුවෙන් සඳහන් සතු...",B,A,False,A,False
"ආනන්ද හිමිගේ මග පෙන්වීම අනුව ආනන්ද බෝධිය රෝපණය කර ඇත්තේ ,...",B,A,False,A,False
"බුදු දහම පටිසෝතගාමී ධර්මයක් වේ . එහි තේරුම වන්නේ බුදු දහම ,...",B,A,False,A,False
"නිත්‍ය ශීලය , ගෘහස්ථ ශීලය යන නම් වලින් හැඳින්වෙන්නේ .
...",B,A,False,A,False
"සිගාලෝවාද සූත්‍රයට අනුව අපට රැකවරණය සැලසීම ,
...",B,A,False,A,False
අපණ්ණක ජාතකයෙහි අනුවණ සාන්තු නායකයා වශයෙන් ඉපිද බුද්ධ කාලයේ දී විනාශ මුඛයට පැමිණ...,C,A,False,A,False
"සාලිකේදාර ජාතකයෙන් විස්තර වන්නේ ,...",D,A,False,A,False
කුඹුරු වලින් ලබාගන්නා අස්වැන්නේ පළමු කොටස ත්‍රිවිධ රත්නයට පූජා කිරීම හැඳින්වෙන්න...,D,A,False,A,False
"සිගාලෝවාද සූත්‍රයේ ගුරුවරුන් උපමා කර ඇති දිශාව වන්නේ ,...",D,A,False,A,False
"සිරිත් මල්දම නම් ග්‍රන්ථය රචනා කරන ලද්දේ ,...",B,A,False,A,False
"තිලෝගුරු බුදුරජාණන් වහන්සේ මහජන මතයට ගරු කළ අවස්ථාවක් වන්නේ,...",B,A,False,A,False
"පංචවරය ඉදිරිපත් කළේ,...",C,A,False,A,False
බුදුරජාණන් වහන්සේ විසින් දේශනා කරන ලද ධර්මය මුල මැද අග යන තුන් තැන්හිම යහපත් වන ...,D,A,False,A,False
"මහාසාර බමුණු කුලයෙහි උපන් මොග්ගල්ලාන බැමිණියගේ පුත්‍රයා වන්නේ,...",B,A,False,A,False
"සිගාලෝවාද සූත්‍රයේ සම්මාන කිරීම, අවමන් නොකිරීම, වගකීම් පවරා දීම...ආදි යුතුකම් ඇත...",C,A,False,A,False
"මහෞෂධ කුමරුගේ ප්‍රඥා මහිමය විදහාපාන ජාතක කතාව,...",D,A,False,A,False
"බුදු දහමේ උභයක්ඛය මරණය ලෙස හඳුන්වා ඇත්තේ,...",D,C,False,C,False
"පංචස්කන්ධයට අයත් නොවන්නේ,...",C,A,False,A,False
